id,index,period,timestamp,minute,second,possession,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,duration,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,tactics.formation,tactics.lineup,related_events,location,player.id,player.name,position.id,position.name,pass.recipient.id,pass.recipient.name,pass.length,pass.angle,pass.height.id,pass.height.name,pass.end_location,pass.type.id,pass.type.name,pass.body_part.id,pass.body_part.name,carry.end_location,under_pressure,pass.outcome.id,pass.outcome.name,ball_receipt.outcome.id,ball_receipt.outcome.name,counterpress,duel.type.id,duel.type.name,miscontrol.aerial_won,pass.aerial_won,dribble.outcome.id,dribble.outcome.name,pass.switch,interception.outcome.id,interception.outcome.name,shot.statsbomb_xg,shot.end_location,shot.outcome.id,shot.outcome.name,shot.technique.id,shot.technique.name,shot.body_part.id,shot.body_part.name,shot.type.id,shot.type.name,shot.freeze_frame,goalkeeper.end_location,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.type.id,goalkeeper.type.name,off_camera,clearance.head,clearance.body_part.id,clearance.body_part.name,dribble.nutmeg,out,ball_recovery.recovery_failure,pass.cross,pass.xclaim,clearance.left_foot,pass.assisted_shot_id,pass.goal_assist,shot.open_goal,shot.statsbomb_xg2,shot.key_pass_id,shot.first_time,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.technique.id,goalkeeper.technique.name,pass.through_ball,pass.technique.id,pass.technique.name,pass.shot_assist,goalkeeper.body_part.id,goalkeeper.body_part.name,shot.aerial_won,duel.outcome.id,duel.outcome.name,foul_won.defensive,clearance.right_foot,pass.straight,shot.one_on_one,50_50.outcome.id,50_50.outcome.name,injury_stoppage.in_chain,dribble.no_touch,clearance.aerial_won,foul_committed.advantage,foul_won.advantage,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,pass.inswinging,foul_committed.card.id,foul_committed.card.name,bad_behaviour.card.id,bad_behaviour.card.name,pass.miscommunication,pass.cut_back,dribble.overrun,pass.outswinging
c735a527-4771-4e09-856c-37ec44d52254,1094,1,00:27:21.268,27,21,54,0.017689846,0.018167926,-0.0004780795,0.010964685,0.01060461,0.0003600754,-0.0008381549,1.160458,30,Pass,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['e22de7ff-eb3d-40bf-af98-9b2a3625fb3a'],"[54.2, 38.7]",10252.0,Alex Greenwood,5.0,Left Center Back,62666.0,Ingrid Filippa Angeldal,12.980755,-0.9165098,1.0,Ground Pass,"[62.1, 28.4]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a12238b4-084d-4bea-954a-b13f46166e3e,1095,1,00:27:22.089,27,22,54,,,,,,,,1.056456,17,Pressure,746,Manchester City WFC,1,Regular Play,968,Arsenal WFC,,,"['5b9d24e7-2847-4643-ac80-f3834df54c80', 'bf178184-01c9-4473-8a2f-b95e071c7cc7', 'e22de7ff-eb3d-40bf-af98-9b2a3625fb3a']","[54.8, 55.5]",11338.0,Caitlin Jade Foord,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e22de7ff-eb3d-40bf-af98-9b2a3625fb3a,1096,1,00:27:22.428,27,22,54,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,"['a12238b4-084d-4bea-954a-b13f46166e3e', 'c735a527-4771-4e09-856c-37ec44d52254']","[62.1, 28.4]",62666.0,Ingrid Filippa Angeldal,13.0,Right Center Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b9d24e7-2847-4643-ac80-f3834df54c80,1097,1,00:27:22.428,27,22,54,0.017780032,0.017689846,9.01856e-05,0.010952757,0.010964685,-1.19284e-05,0.0001021139,0.622728,43,Carry,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,"['a12238b4-084d-4bea-954a-b13f46166e3e', 'bf178184-01c9-4473-8a2f-b95e071c7cc7', 'e22de7ff-eb3d-40bf-af98-9b2a3625fb3a']","[62.1, 28.4]",62666.0,Ingrid Filippa Angeldal,13.0,Right Center Midfield,,,,,,,,,,,,"[61.9, 29.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf178184-01c9-4473-8a2f-b95e071c7cc7,1098,1,00:27:23.051,27,23,54,0.017023832,0.017780032,-0.0007562004,0.009974488,0.010952757,-0.0009782687,0.0002220683,0.958908,30,Pass,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,"['9334ff99-008e-465b-8487-6629699715b7', 'a12238b4-084d-4bea-954a-b13f46166e3e']","[61.9, 29.6]",62666.0,Ingrid Filippa Angeldal,13.0,Right Center Midfield,10252.0,Alex Greenwood,12.88177,2.4001222,1.0,Ground Pass,"[52.4, 38.3]",,,38.0,Left Foot,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9334ff99-008e-465b-8487-6629699715b7,1099,1,00:27:24.010,27,24,54,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['bf178184-01c9-4473-8a2f-b95e071c7cc7'],"[52.4, 38.3]",10252.0,Alex Greenwood,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feeb2163-30b5-4728-9b95-c4e7076ad93c,1100,1,00:27:24.010,27,24,54,0.01716159,0.017023832,0.0001377575,0.01012491,0.009974488,0.0001504216,-1.26641e-05,2.537235,43,Carry,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,"['7c18d5b7-4054-4833-a08c-c76a173d1a81', '9334ff99-008e-465b-8487-6629699715b7']","[52.4, 38.3]",10252.0,Alex Greenwood,5.0,Left Center Back,,,,,,,,,,,,"[52.4, 37.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c18d5b7-4054-4833-a08c-c76a173d1a81,1101,1,00:27:26.547,27,26,54,0.0223538,0.01716159,0.005192211,0.009217806,0.01012491,-0.0009071035,0.0060993144,1.244309,30,Pass,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['2c192bd5-455b-4c31-8a57-b8481faebfca'],"[52.4, 37.3]",10252.0,Alex Greenwood,5.0,Left Center Back,62666.0,Ingrid Filippa Angeldal,21.140009,-0.6444472,1.0,Ground Pass,"[69.3, 24.6]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c192bd5-455b-4c31-8a57-b8481faebfca,1102,1,00:27:27.791,27,27,54,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['7c18d5b7-4054-4833-a08c-c76a173d1a81'],"[69.3, 24.6]",62666.0,Ingrid Filippa Angeldal,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50d5f475-ef6b-4c58-a8a4-a1e6ecb1e5ec,1103,1,00:27:27.791,27,27,54,0.022362603,0.0223538,8.8029e-06,0.009195558,0.009217806,-2.22484e-05,3.10512e-05,1.497916,43,Carry,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,"['2c192bd5-455b-4c31-8a57-b8481faebfca', 'ae98c089-6b31-4ff1-a8dd-3f8a0580b21e']","[69.3, 24.6]",62666.0,Ingrid Filippa Angeldal,13.0,Right Center Midfield,,,,,,,,,,,,"[75.5, 16.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
